onset	duration	trial_type	value	sample
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_1/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32110600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_2/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32200600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_3/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32310600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_4/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32400600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_5/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32510600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_6/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32600600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_7/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32710600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_8/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32800600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_9/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32910600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_10/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	33000600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_11/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	33110600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_12/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	33200600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_13/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	33310600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_14/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	33400600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_15/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	33510600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_16/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	33600600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_1/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32110600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_2/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32200600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_3/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32310600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_4/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32400600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_5/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32510600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_6/StimID_0/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32600600	62499
249.996	0.0	SequenceID_2/RunNumber_12/StimPosition_7/StimID_1/ViolationOrNot_0/Complexity_6/ViolationInSequence_0	32710600	62499
